original_name,display_name,label_flag
SEQNO,SEQNO
分類,分類
角度,角度
口径,口径
竣工年,竣工年
地盤高,地盤高
使用水,使用水
配水区,配水区
付設備,付設備
バ管理,バ管理
消火栓,消火栓
