NO,都道府県コード又は市区町村コード,都道府県名,市区町村名,名称,名称_カナ,設置場所,住所,方書,緯度,経度,電話番号,備考
1,222127,静岡県,焼津市,第1救護所,ダイイチキュウゴショ,東益津地域交流センター,静岡県焼津市石脇上65,,34.88641911,138.3204561,,
4,222127,静岡県,焼津市,第2救護所,ダイニキュウゴショ,豊田小学校,静岡県焼津市五ヶ堀之内2,,34.86342764,138.2903738,,
5,222127,静岡県,焼津市,第3救護所,ダイサンキュウゴショ,焼津ケアセンター,静岡県焼津市中根新田1315,,34.829109,138.286546,,
7,222127,静岡県,焼津市,第4救護所,ダイヨンキュウゴショ,大井川中学校,静岡県焼津市下江留191,,34.80115084,138.2815338,,
