ID,業種,店舗名,住所,建物名,経度,緯度
285,小売り,ベルマートキヨスク焼津28号,栄町1-1-1,,138.3187453,34.87208034
286,小売り,べんてん,吉永777,,138.2964845,34.79620224
287,小売り,北海道のおさかな屋さん,八楠4丁目13-7,焼津さかなセンター内,138.3043009,34.88067556
288,小売り,ほのぼの空間三和,三和677,,138.3042443,34.82688281
289,小売り,ポルト,焼津859-21,,138.324342,34.86541977
290,小売り,正秀刃物店,本町5-9-9,,138.3216309,34.86209445
291,小売り,MASUYA,本町2丁目11番5号,,138.3222275,34.86690695
292,小売り,又八商店,本町5丁目12-17,,138.3222264,34.86214671
293,小売り,マックスバリュグランリバー大井川店,下江留1424-1,,138.2745782,34.8099492
294,小売り,松住屋,焼津4-3-13,,138.3151762,34.86172314
295,小売り,マツデンとよだてん,柳新屋821-1,,138.2920131,34.85839059
296,小売り,松屋,栄町5-5-1,,138.31967,34.86712919
297,小売り,松屋ストアー,浜当目4丁目13-33,,138.3337567,34.88063314
298,小売り,マルイチ焼津本店,焼津3-9-37,,138.3108731,34.8636834
299,小売り,まるかま静岡県水産（株）,中港1-3-7,,138.3222531,34.87212338
301,小売り,マルショウ焼津さかなセンター店,八楠4-13-7,焼津さかなセンター内,138.3043009,34.88067556
302,小売り,有限会社丸玉園,東小川5-9-17,,138.3107492,34.85706778
303,小売り,まるとう農園焼津さかなセンター店,八楠4丁目13番地の7,,138.3043009,34.88067556
304,小売り,マルハチ村松浜通り店,城之腰108-1-1,,138.3237206,34.86140506
305,小売り,株式会社丸又,東小川1-4-3,,138.3161509,34.86005307
306,小売り,株式会社マルワ商店,八楠4-13-7,焼津さかなセンター内,138.3043009,34.88067556
307,小売り,まんさいかん焼津,焼津4丁目8-5,,138.3147833,34.86318945
308,小売り,ミスタータイヤマン黒川大井川店,下江留1849,,138.2724839,34.81056111
309,小売り,みどりのお店ポメゾン,相川638-2,,138.2651137,34.80672448
310,小売り,港書店,本町5-9-3,,138.3215287,34.86160894
311,小売り,ミナトスポーツ,三ヶ名1341-2,,138.3035548,34.86326342
312,小売り,ミニストップ大井川吉永店,吉永1304-4,,138.299935,34.79468546
313,小売り,ミニストップ焼津大住店,大住1091-1,,138.2908967,34.84640918
314,小売り,ミニストップ焼津祢宜島店,祢宜島130-3,,138.3074888,34.84293461
315,小売り,ミハラ水産株式会社,八楠4-13-7,,138.3043009,34.88067556
316,小売り,MEGAドン・キホーテUNY大覚寺店,大覚寺2丁目27番地15,,138.2987759,34.87582473
317,小売り,メガネ・補聴器のサトウ,本町2-16-44,,138.3227356,34.86749952
318,小売り,メガネ赤札堂焼津店,小川4014-2,,138.3080879,34.84858762
319,小売り,眼鏡市場焼津店,東祢宜島24-１,,138.3076309,34.8423624
320,小売り,眼鏡市場焼津登呂田,西小川１丁目4-2,,138.3109093,34.86018701
321,小売り,メガネのサトウ,本町5-11-3,,138.3219489,34.86300056
322,小売り,メチャ安のやおやすゞや,東小川5丁目12-3,,138.3113597,34.85491587
323,小売り,望月海苔店,八楠4-13-7,,138.3043009,34.88067556
324,小売り,焼津餃子,焼津1-6-3,,138.3153632,34.86640279
325,小売り,焼津プリン商店,八楠4丁目13-7,,138.3043009,34.88067556
326,小売り,焼津さかなセンター大漁店,八楠4-13-7,,138.3043009,34.88067556
327,小売り,焼津水産加工団地サービスショップ,惣右衛門1280-2,,138.3215845,34.81679421
328,小売り,株式会社ヤイヅツナコープ,鰯ｹ島136-26,うみえ~る焼津1階,138.3267187,34.85663173
329,小売り,やいづとくさんプラザ,鰯ケ島136-26,うみえーる焼津1階,138.3267187,34.85663173
330,小売り,焼津谷島屋登呂田店,西小川2-1-8,,138.3109112,34.85954813
331,小売り,やきつ家,栄町3丁目1番13号,,138.3199078,34.87043089
332,小売り,ヤキレイ直売所,小川新町5丁目8番2号,,138.3205267,34.85239565
333,小売り,株式会社柳屋本店,東小川2丁目1-10,,138.3177158,34.85798334
334,小売り,ヤマクニ水産株式会社,八楠4-13-7,,138.3043009,34.88067556
