ID,業種,店舗名,住所,建物名,経度,緯度
163,小売り,スギドラッグ焼津東小川店,東小川３丁目２０番地の５,,138.3155411,34.85420361
164,小売り,スギ薬局大覚寺店,大覚寺二丁目２５番地の７,,138.2976326,34.87534036
165,小売り,スギヤマ時計店,栄町6-2-1,,138.3175467,34.8687689
166,小売り,杉山安商店,三ケ名392,,138.3003081,34.85497224
167,小売り,すずき菓子舗,高新田1906-1,,138.3047647,34.79584285
168,小売り,すずきジム,本町3-4-14,,138.3220712,34.86582313
169,小売り,スペシャルティ珈琲豆焙煎所直売Metrond,八楠3丁目11-14,,138.3059376,34.87821838
170,小売り,スポーツ自転車PEAK,石津2丁目21-21,,138.3135792,34.84125453
171,小売り,SPORTSSHOPKona,与惣次１丁目18-29,,138.3098273,34.84529671
172,小売り,スポーツショップトータス,五ケ堀之内834-3,,138.2974428,34.86287341
173,小売り,スマイルビューティー，K,小土1131番地の1,,138.2889084,34.86259314
174,小売り,スマル水産焼津さかなセンター店,八楠4-13-7,,138.3043009,34.88067556
175,小売り,酢屋マルヨシ,利右衛門910-1,,138.2959253,34.79382314
176,小売り,セイブストア伊万里,大住679番地,,138.2908331,34.84763339
177,小売り,セーコー石油,相川574-5,,138.267837,34.80643339
178,小売り,セブンイレブン焼津大住店,大住59-1,,138.289155,34.85010834
179,小売り,セブンイレブン焼津3丁目店,焼津3丁目9-26,,138.3097548,34.86374169
180,小売り,セブンイレブン焼津三和店,三和1047,,138.3006548,34.82915867
181,小売り,セブンイレブン焼津石津中町店,石津中町22-2 ,,138.3239873,34.84004977
182,小売り,セブンイレブン焼津石津西店,与惣次2丁目16-1,,138.3128421,34.84532544
183,小売り,セブンイレブン焼津1丁目店,焼津1丁目4-18,,138.3163061,34.86662357
184,小売り,セブンイレブン焼津大島店,大島597,,138.2839323,34.82298336
185,小売り,セブンイレブン焼津小柳津店,小柳津220-7,,138.2833009,34.8535212
186,小売り,セブンイレブン焼津小川店,東小川８丁目11-16,,138.3086245,34.85054034
186,小売り,セブンイレブン焼津小川店,東小川8-11-16,,138.3086245,34.85054034
187,小売り,セブンイレブン焼津坂本店,坂本３７４番地１号,,138.3103779,34.89060842
188,小売り,セブンイレブン焼津三ヶ名南店,三ケ名字金剛作289-1,,138.3002003,34.85379605
189,小売り,セブンイレブン焼津下江留店,下江留９５２－１,,138.2737817,34.79964592
190,小売り,セブンイレブン焼津清流館高校前店,上新田字東540番3,,138.2728953,34.82045964
191,小売り,セブンイレブン焼津中港店,中港1丁目3番9号,,138.3226284,34.87181868
192,小売り,セブンイレブン焼津祢宜島店,下小田上町15-5,,138.3131717,34.83771779
193,小売り,セブンイレブン焼津本町3丁目店,本町三丁目2-1,,138.3202587,34.86543444
194,小売り,セブンイレブン焼津インター店,八楠４丁目14-3,,138.3027626,34.88127753
195,小売り,セブンイレブン焼津越後島店,越後島360-1,,138.2963631,34.88523335
196,小売り,セブンイレブン焼津八楠４丁目店,八楠４丁目11-19,,138.3058154,34.8797106
197,小売り,C・E・R・A和香,栄町1-4-1,,138.318717,34.8709839
198,小売り,泰栄堂,本町2-16-43,,138.3226481,34.86745477
199,小売り,大富水産株式会社,八楠4-13-7,焼津さかなセンター内,138.3043009,34.88067556
200,小売り,田子重小土店,小土558,,138.3003972,34.86854066
201,小売り,田子重田尻店,田尻421,,138.3185873,34.83170922
202,小売り,田子重登呂田店,東小川2-16-14,,138.3124281,34.85847536
203,小売り,田子重西焼津店,小柳津531,,138.2882428,34.85276751
204,小売り,CheesePige焼津本店,西小川2-4-9,,138.3102236,34.85938145
205,小売り,つくだ煮みさき,東小川1-3-19,,138.3153879,34.85916809
206,小売り,TSUTAYAグランリバー大井川店,下江留1433－1,,138.2736076,34.8105084
