全国地方公共団体コード,ID,地方公共団体名,種別,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,口径,備考
222127,41,静岡県焼津市,防火水そう,222127,0049000,静岡県焼津市高崎805番地1,静岡県,焼津市,高崎,805番地1,,34.897807,138.328254,,
222127,42,静岡県焼津市,防火水そう,222127,0051000,静岡県焼津市田尻2140番地2,静岡県,焼津市,田尻,2140番地2,,34.823721,138.323962,,
222127,43,静岡県焼津市,防火水そう,222127,0051000,静岡県焼津市田尻2526番地,静岡県,焼津市,田尻,2526番地,,34.825694,138.329541,,
222127,44,静岡県焼津市,防火水そう,222127,0051000,静岡県焼津市田尻2058番地,静岡県,焼津市,田尻,2058番地,,34.82676,138.322026,,
222127,45,静岡県焼津市,防火水そう,222127,0054000,静岡県焼津市中里1101番地1,静岡県,焼津市,中里,1101番地1,,34.88489,138.310777,,
222127,46,静岡県焼津市,防火水そう,222127,0054000,静岡県焼津市中里79番地,静岡県,焼津市,中里,79番地,,34.884397,138.313572,,
222127,47,静岡県焼津市,防火水そう,222127,0054000,静岡県焼津市中里641番地7,静岡県,焼津市,中里,641番地7,,34.881634,138.31384,,
222127,48,静岡県焼津市,防火水そう,222127,0054000,静岡県焼津市中里586番地,静岡県,焼津市,中里,586番地,,34.883095,138.315264,,
222127,49,静岡県焼津市,防火水そう,222127,0058000,静岡県焼津市中根新田49番地6,静岡県,焼津市,中根新田,49番地6,,34.838571,138.297991,,
222127,50,静岡県焼津市,防火水そう,222127,0059005,静岡県焼津市中港五丁目463番,静岡県,焼津市,中港五丁目,463番,,34.875125,138.326932,,
222127,51,静岡県焼津市,防火水そう,222127,0060001,静岡県焼津市西小川一丁目1番,静岡県,焼津市,西小川一丁目,1番,,34.861072,138.3119,,
222127,52,静岡県焼津市,防火水そう,222127,0060005,静岡県焼津市西小川五丁目22番8号,静岡県,焼津市,西小川五丁目,22番8号,,34.858686,138.305115,,
222127,53,静岡県焼津市,防火水そう,222127,0062000,静岡県焼津市西焼津7番地,静岡県,焼津市,西焼津,7番地,,34.860834,138.28709,,
222127,54,静岡県焼津市,防火水そう,222127,0064000,静岡県焼津市野秋,静岡県,焼津市,野秋,,,34.902578,138.33758,,
