全国地方公共団体コード,ID,地方公共団体名,種別,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,口径,備考
222127,176,静岡県焼津市,井戸,222127,0070000,静岡県焼津市藤守390番地,静岡県,焼津市,藤守,390番地,,34.80797,138.306743,,
222127,177,静岡県焼津市,井戸,222127,0070000,静岡県焼津市藤守1452番地,静岡県,焼津市,藤守,1452番地,,34.81192,138.314168,,
222127,178,静岡県焼津市,井戸,222127,0070000,静岡県焼津市藤守2111番地,静岡県,焼津市,藤守,2111番地,,34.806601,138.315439,,
222127,179,静岡県焼津市,井戸,222127,0070000,静岡県焼津市藤守1892番地,静岡県,焼津市,藤守,1892番地,,34.812406,138.320784,,
222127,180,静岡県焼津市,井戸,222127,0070000,静岡県焼津市藤守1976番地,静岡県,焼津市,藤守,1976番地,,34.809467,138.318838,,
222127,181,静岡県焼津市,井戸,222127,0070000,静岡県焼津市藤守2026番地の1,静岡県,焼津市,藤守,2026番地の1,,34.808299,138.31764,,
222127,182,静岡県焼津市,井戸,222127,0076000,静岡県焼津市宗高900番地,静岡県,焼津市,宗高,900番地,,34.803173,138.28467,,
222127,183,静岡県焼津市,井戸,222127,0076000,静岡県焼津市宗高368番地の1,静岡県,焼津市,宗高,368番地の1,,34.806282,138.289555,,
222127,184,静岡県焼津市,井戸,222127,0076000,静岡県焼津市宗高428番地,静岡県,焼津市,宗高,428番地,,34.806769,138.293633,,
222127,185,静岡県焼津市,井戸,222127,0083000,静岡県焼津市吉永492番地,静岡県,焼津市,吉永,492番地,,34.793607,138.295414,,
222127,186,静岡県焼津市,井戸,222127,0083000,静岡県焼津市吉永1155番地,静岡県,焼津市,吉永,1155番地,,34.795229,138.296512,,
222127,187,静岡県焼津市,井戸,222127,0083000,静岡県焼津市吉永2043番地,静岡県,焼津市,吉永,2043番地,,34.792711,138.302804,,
222127,188,静岡県焼津市,井戸,222127,0083000,静岡県焼津市吉永1853番地の2,静岡県,焼津市,吉永,1853番地の2,,34.790276,138.30403,,
222127,189,静岡県焼津市,井戸,222127,0083000,静岡県焼津市吉永2070番地,静岡県,焼津市,吉永,2070番地,,34.792446,138.303671,,
222127,190,静岡県焼津市,井戸,222127,0083000,静岡県焼津市吉永1984番地,静岡県,焼津市,吉永,1984番地,,34.791513,138.30249,,
222127,191,静岡県焼津市,井戸,222127,0083000,静岡県焼津市吉永1866番地の2,静岡県,焼津市,吉永,1866番地の2,,34.789314,138.303131,,
222127,192,静岡県焼津市,井戸,222127,0085000,静岡県焼津市利右衛門2556番5,静岡県,焼津市,利右衛門,2556番5,,34.787493,138.301639,,
222127,193,静岡県焼津市,井戸,222127,0085000,静岡県焼津市利右衛門2542番地,静岡県,焼津市,利右衛門,2542番地,,34.788274,138.30222,,
