NO,都道府県コード又は市区町村コード,都道府県名,市区町村名,名称,名称_カナ,住所,緯度,経度,備考
53,222127,静岡県,焼津市,与惣次,ヨソウジ,静岡県焼津市与惣次１２４,34.84524218,138.3094764,
54,222127,静岡県,焼津市,三和,ミワ,静岡県焼津市三和１００４,34.829384,138.301529,
55,222127,静岡県,焼津市,大島第二,オオジマダイニ,静岡県焼津市大島７３８,34.82203023,138.2880151,
56,222127,静岡県,焼津市,道原第一,ドウバラダイイチ,静岡県焼津市道原８８,34.83539299,138.3085262,
57,222127,静岡県,焼津市,一色第一,イッシキダイイチ,静岡県焼津市一色３５０－７,34.82070411,138.3168073,
58,222127,静岡県,焼津市,惣右衛門,ソウウエモン,静岡県焼津市惣右衛門２７８,34.81729394,138.3063854,
59,222127,静岡県,焼津市,田尻第三,タジリダイサン,静岡県焼津市田尻２５２６－７２,34.82571047,138.3295648,
60,222127,静岡県,焼津市,下小田第一,シモオダダイイチ,静岡県焼津市下小田５５９－１,34.836967,138.32135,
61,222127,静岡県,焼津市,浜当目第二,ハマトウメダイニ,静岡県焼津市浜当目９５１－１,34.885447,138.328342,
62,222127,静岡県,焼津市,中港第二,ナカミナトダイ二,静岡県焼津市中港５－１８－２１,34.87462596,138.3294497,
63,222127,静岡県,焼津市,大覚寺第二,ダイカクジダイニ,静岡県焼津市大覚寺２－９－７,34.87426954,138.2969946,
64,222127,静岡県,焼津市,栄町第三,サカエマチダイサン,静岡県焼津市栄町６－１０－１,34.86983874,138.3145482,
65,222127,静岡県,焼津市,治長請所第二,ジチョウウケショダイニ,静岡県焼津市治長請所１９６,34.83386449,138.27682,
66,222127,静岡県,焼津市,本町,ホンマチ,静岡県焼津市本町２－１６－３２,34.866863,138.322983,
67,222127,静岡県,焼津市,浜当目第一,ハマトウメダイイチ,静岡県焼津市浜当目６７２－３,34.878881,138.324823,
68,222127,静岡県,焼津市,焼津第一,ヤイヅダイイチ,静岡県焼津市焼津２－７－１,34.864971,138.313873,
69,222127,静岡県,焼津市,五ケ堀之内第二,ゴカホリノウチダイニ,静岡県焼津市五ケ堀之内９０９－１,34.86106889,138.2967659,
70,222127,静岡県,焼津市,田尻北第三,タジリキタダイサン,静岡県焼津市田尻北１６２４－７９,34.83963273,138.3350368,
71,222127,静岡県,焼津市,中根新田第三,ナカネシンデンダイサン,静岡県焼津市中根新田１２７１－１,34.82992767,138.2886261,
72,222127,静岡県,焼津市,大住第三,オオズミダイサン,静岡県焼津市大住５４２,34.84723797,138.2871642,
73,222127,静岡県,焼津市,栄町第一,サカエマチダイイチ,静岡県焼津市栄町２－２－１,34.87215793,138.3195437,
74,222127,静岡県,焼津市,城之腰,ジョウノコシ,静岡県焼津市城之腰１５地先,34.86028658,138.3231212,
75,222127,静岡県,焼津市,浜当目海岸第二,ハマトウメカイガンダイニ,静岡県焼津市浜当目海岸官有有無番地,34.879652,138.3355032,
76,222127,静岡県,焼津市,北新田,キタシンデン,静岡県焼津市北新田２２４,34.832378,138.319122,
77,222127,静岡県,焼津市,小川新町第二,コガワシンマチダイニ,静岡県焼津市小川新町４－３－１８,34.85419446,138.3195575,
78,222127,静岡県,焼津市,治長請所第一,ジチョウウケショダイイチ,静岡県焼津市治長請所１８０－１,34.83216367,138.2792506,
79,222127,静岡県,焼津市,越後島第一,エチゴシマダイイチ,静岡県焼津市越後島４７６－４２,34.88302188,138.2930108,
80,222127,静岡県,焼津市,岡当目,オカトウメ,静岡県焼津市岡当目７５,34.88071824,138.3189479,
81,222127,静岡県,焼津市,浜当目海岸第一,ハマトウメカイガンダイイチ,静岡県焼津市浜当目官有無番地,34.878498,138.334042,
82,222127,静岡県,焼津市,浜当目海岸第三,ハマトウメカイガンダイサン,静岡県焼津市浜当目官有無番地,34.877363,138.332728,
83,222127,静岡県,焼津市,八楠第三,ヤグスダイサン,静岡県焼津市八楠２－４－２２,34.87914,138.311783,
84,222127,静岡県,焼津市,駅北第三,エキキタダイサン,静岡県焼津市駅北５－１０,34.87601434,138.3239108,
85,222127,静岡県,焼津市,大村新田第二,オオムラシンデンダイニ,静岡県焼津市大村２－４－６４,34.87235,138.309358,
86,222127,静岡県,焼津市,東小川第一,ヒガシコガワダイイチ,静岡県焼津市東小川２－９－１８,34.85723911,138.3141608,
87,222127,静岡県,焼津市,小川第三,コガワダイサン,静岡県焼津市小川３４１１,34.84808351,138.3203809,
88,222127,静岡県,焼津市,田尻第四,タジリダイヨン,静岡県焼津市田尻２９７０－１,34.82173674,138.3299823,
89,222127,静岡県,焼津市,大島第三,オオジマダイサン,静岡県焼津市大島１４２９－１,34.81980974,138.2970798,
90,222127,静岡県,焼津市,大島第一,オオジマダイイチ,静岡県焼津市大島１４３,34.82550633,138.2829851,
91,222127,静岡県,焼津市,柳新屋,ヤナギアラヤ,静岡県焼津市柳新屋４８９,34.857029,138.287949,
92,222127,静岡県,焼津市,大覚寺第一,ダイカクジダイイチ,静岡県焼津市大覚寺１８８,34.87106917,138.2889384,
93,222127,静岡県,焼津市,坂本第一,サカモトダイイチ,静岡県焼津市坂本２２０－１,34.88577858,138.3082039,
94,222127,静岡県,焼津市,坂本第二,サカモトダイニ,静岡県焼津市坂本４６８－１,34.89037582,138.3151799,
95,222127,静岡県,焼津市,三右衛門新田,サンウエモンシンデン,静岡県焼津市三右衛門新田６４１,34.84669599,138.2924557,
96,222127,静岡県,焼津市,道原第二,ドウバラダイニ,静岡県焼津市道原１１０１,34.84462193,138.304925,
97,222127,静岡県,焼津市,田尻第二,タジリダイニ,静岡県焼津市田尻１２９１－２,34.829865,138.334244,
98,222127,静岡県,焼津市,下小田第二,シモオダダイニ,静岡県焼津市下小田７３２－１,34.83667,138.314438,
99,222127,静岡県,焼津市,小浜第一,オバマダイイチ,静岡県焼津市小浜２０８－６１,34.88846763,138.332101,
100,222127,静岡県,焼津市,駅北第四,エキキタダイヨン,静岡県焼津市駅北３－１１－１５,34.873375,138.313873,
101,222127,静岡県,焼津市,本町第二,ホンマチダイニ,静岡県焼津市栄町２－７－２１,34.87095605,138.3205211,
102,222127,静岡県,焼津市,本町第三,ホンマチダイサン,静岡県焼津市本町４－９０９－８,34.863477,138.322576,
103,222127,静岡県,焼津市,小川第五,コガワダイゴ,静岡県焼津市小川３６２８,34.851711,138.322525,
104,222127,静岡県,焼津市,田尻北第四,タジリキタダイヨン,静岡県焼津市田尻北６９８,34.83536965,138.3311906,
105,222127,静岡県,焼津市,石津第七,イシヅダイナナ,静岡県焼津市石津４４８,34.842725,138.316251,
106,222127,静岡県,焼津市,石津第八,イシヅダイハチ,静岡県焼津市石津中町１３－１,34.842155,138.325439,
107,222127,静岡県,焼津市,石津第九,イシヅダイキュウ,静岡県焼津市石津港町１９－９,34.84367586,138.3286232,
108,222127,静岡県,焼津市,田尻北第五,タジリキタダイゴ,静岡県焼津市田尻北１５０２,34.840431,138.332275,
109,222127,静岡県,焼津市,北新田第二,キタシンデンダイニ,静岡県焼津市すみれ台２－９１４,34.830855,138.325371,
110,222127,静岡県,焼津市,惣右衛門第二,ソウウエモンダイニ,静岡県焼津市惣右衛門９４０－１,34.8170894,138.3177865,
111,222127,静岡県,焼津市,大村新田第三,オオムラシンデンダイサン,静岡県焼津市大村新田１１－２,34.87143618,138.3011636,
112,222127,静岡県,焼津市,中里第二,ナカザトダイニ,静岡県焼津市中里４１６,34.885059,138.318985,
113,222127,静岡県,焼津市,柳新屋第二,ヤナギアラヤダイニ,静岡県焼津市西焼津１８－４,34.859909,138.286667,
114,222127,静岡県,焼津市,本中根,ホンナカネ,静岡県焼津市本中根４２２,34.82752587,138.2941366,
115,222127,静岡県,焼津市,上荒田公園,ウエアラタコウエン,静岡県焼津市西小川２－３６,34.860588,138.308212,
116,222127,静岡県,焼津市,小柳津公会堂,オヤイヅコウカイドウ,静岡県焼津市小柳津３６７－１,34.85341038,138.2846789,
117,222127,静岡県,焼津市,焼津漁港第一,ヤイヅギョコウダイイチ,静岡県焼津市中港６－１２２５,34.87182112,138.3329896,
118,222127,静岡県,焼津市,焼津漁港第二,ヤイヅギョコウダイニ,静岡県焼津市中港６－１２１８,34.87055407,138.3277267,
119,222127,静岡県,焼津市,焼津新港第一,ヤイヅシンコウダイイチ,静岡県焼津市新屋４３８－１０,34.86686291,138.3268307,
120,222127,静岡県,焼津市,焼津新港第二,ヤイヅシンコウダイニ,静岡県焼津市城之腰２６９－１１,34.862289,138.325918,
121,222127,静岡県,焼津市,焼津新港第三,ヤイヅシンコウダイサン,静岡県焼津市鰯ケ島１３６－２４,34.85837829,138.3257388,
122,222127,静岡県,焼津市,小川新港第一,コガワシンコウダイイチ,静岡県焼津市小川３６９０,34.85167798,138.3247091,
123,222127,静岡県,焼津市,小川新港第二,コガワシンコウダイニ,静岡県焼津市小川３３９２－９,34.849417,138.327935,
124,222127,静岡県,焼津市,三ケ名第三,サンガミョウダイサン,静岡県焼津市三ケ名６４７－２５,34.85745765,138.2971823,
125,222127,静岡県,焼津市,石脇下第一,イシワキシモダイイチ,静岡県焼津市石脇下８２,34.889568,138.32225,
126,222127,静岡県,焼津市,親水公園,シンスイコウエン,静岡県焼津市鰯ケ島１３６－２６,34.85716695,138.3276004,
127,222127,静岡県,焼津市,中島第一,ナカジマダイイチ,静岡県焼津市中島１１８３,34.7968088,138.2724091,
128,222127,静岡県,焼津市,飯淵第一,ハブチダイイチ,静岡県焼津市中島６０１－１,34.79036162,138.2787752,
129,222127,静岡県,焼津市,飯淵第二,ハブチダイニ,静岡県焼津市飯淵９７６－１,34.78449741,138.2837639,
130,222127,静岡県,焼津市,利右衛門第一,リエモンダイイチ,静岡県焼津市利右衛門３７６－１,34.79191414,138.2894473,
131,222127,静岡県,焼津市,利右衛門第二,リエモンダイニ,静岡県焼津市利右衛門２５２８,34.788495,138.301302,
132,222127,静岡県,焼津市,吉永第一,ヨシナガダイイチ,静岡県焼津市吉永１６４－１,34.79699544,138.2825444,
133,222127,静岡県,焼津市,吉永第二,ヨシナガダイニ,静岡県焼津市吉永３３４－２,34.796035,138.289622,
134,222127,静岡県,焼津市,吉永第三,ヨシナガダイサン,静岡県焼津市吉永４９０,34.794369,138.294144,
135,222127,静岡県,焼津市,吉永第五,ヨシナガダイゴ,静岡県焼津市吉永１９３３－１,34.79129955,138.3042135,
136,222127,静岡県,焼津市,高新田第一,タカシンデンダイイチ,静岡県焼津市高新田３１６－３,34.80137521,138.3010563,
137,222127,静岡県,焼津市,高新田第二,タカシンデンダイニ,静岡県焼津市高新田２１３７－５,34.79781565,138.3090221,
138,222127,静岡県,焼津市,高新田第三,タカシンデンダイサン,静岡県焼津市高新田２２９３－１,34.800967,138.310406,
139,222127,静岡県,焼津市,宗高第一,ムナダカダイイチ,静岡県焼津市宗高１４３９－８,34.81232239,138.2751694,
140,222127,静岡県,焼津市,宗高第二,ムナダカダイニ,静岡県焼津市宗高８８,34.81382587,138.2839776,
141,222127,静岡県,焼津市,宗高第四,ムナダカダイヨン,静岡県焼津市宗高１２０５－１,34.807919,138.286636,
142,222127,静岡県,焼津市,宗高第五,ムナダカダイゴ,静岡県焼津市宗高４２８,34.806988,138.293152,
143,222127,静岡県,焼津市,宗高第六,ムナダカダイロク,静岡県焼津市宗高６１２－２,34.80199293,138.2908671,
144,222127,静岡県,焼津市,上小杉第一,カミコスギダイイチ,静岡県焼津市上小杉７４１,34.81904485,138.2800247,
145,222127,静岡県,焼津市,上小杉第二,カミコスギダイニ,静岡県焼津市上小杉１１７８－２,34.81776937,138.2868287,
146,222127,静岡県,焼津市,上小杉第三,カミコスギダイサン,静岡県焼津市上小杉１３５４－３,34.81548206,138.2931457,
147,222127,静岡県,焼津市,藤守第一,フジモリダイイチ,静岡県焼津市藤守２７１６,34.807217,138.298615,
148,222127,静岡県,焼津市,藤守第二,フジモリダイニ,静岡県焼津市藤守３８７,34.80810278,138.3062739,
149,222127,静岡県,焼津市,藤守第三,フジモリダイサン,静岡県焼津市藤守２２９３－７１,34.80201357,138.3148577,
150,222127,静岡県,焼津市,下小杉第一,シモコスギダイイチ,静岡県焼津市下小杉７８９,34.812378,138.312866,
151,222127,静岡県,焼津市,下小杉第二,シモコスギダイニ,静岡県焼津市藤守１８９１,34.81232298,138.3206964,
152,222127,静岡県,焼津市,相川第一,アイカワダイイチ,静岡県焼津市相川３７５－１,34.80849006,138.2598223,
153,222127,静岡県,焼津市,相川第二,アイカワダイニ,静岡県焼津市相川２４２２,34.80388858,138.2599606,
154,222127,静岡県,焼津市,相川第四,カイカワダイヨン,静岡県焼津市相川４７５－１,34.80838224,138.2672656,
155,222127,静岡県,焼津市,西島第一,ニシジマダイイチ,静岡県焼津市西島１４５－２,34.79914833,138.2669871,
156,222127,静岡県,焼津市,上泉第一,カミイズミダイイチ,静岡県焼津市上泉１４１０－２,34.8202008,138.2570535,
157,222127,静岡県,焼津市,上泉第二,カミイズミダイニ,静岡県焼津市上泉４９８,34.8130359,138.2558607,
158,222127,静岡県,焼津市,下江留第一,シモエドメダイイチ,静岡県焼津市下江留２３００－１,34.81475972,138.2663907,
159,222127,静岡県,焼津市,下江留第三,シモエドメダイサン,静岡県焼津市下江留１２２０,34.80715314,138.2757049,
160,222127,静岡県,焼津市,下江留第四,シモエドメダイヨン,静岡県焼津市下江留８９６－６,34.80235899,138.2762148,
161,222127,静岡県,焼津市,上新田第一,カミシンデンダイイチ,静岡県焼津市上新田１８８,34.818939,138.264667,
162,222127,静岡県,焼津市,上新田第二,カミイズミダイニ,静岡県焼津市上新田６８３,34.818657,138.273271,
163,222127,静岡県,焼津市,つつじ平,ツツジダイラ,静岡県焼津市上泉６１２－３,34.815521,138.250565,
164,222127,静岡県,焼津市,港湾第一,コウワンダイイチ,静岡県焼津市利右衛門２７０７,34.782342,138.298205,
165,222127,静岡県,焼津市,港湾第二,コウワンダイ二,静岡県焼津市飯淵２００６,34.78006314,138.2893364,
166,222127,静岡県,焼津市,港湾第三,コウワンダイサン,静岡県焼津市飯淵２０２７,34.77528423,138.2928983,
167,222127,静岡県,焼津市,高新田第四,タカシンデンダイヨン,静岡県焼津市高新田１８８６,34.795033,138.305466,
168,222127,静岡県,焼津市,中島第二,ナカジマダイニ,静岡県焼津市中島１０６７－１,34.79367509,138.2746504,
169,222127,静岡県,焼津市,飯淵第三,ハブチダイサン,静岡県焼津市飯淵２７７,34.788634,138.283056,
170,222127,静岡県,焼津市,吉永第四,ヨシナガダイヨン,静岡県焼津市吉永９６６－１,34.79859769,138.2943007,
171,222127,静岡県,焼津市,宗高第三,ムナダカダイサン,静岡県焼津市宗高１３８９－５,34.81005157,138.2821104,
172,222127,静岡県,焼津市,相川第三,アイカワダイサン,静岡県焼津市相川１１６５－１,34.80275,138.26503,
173,222127,静岡県,焼津市,上泉第三,カミイズミダイサン,静岡県焼津市上泉１０８１－２,34.816816,138.260128,
174,222127,静岡県,焼津市,下江留第二,シモエドメダイニ,静岡県焼津市下江留２２５７－３,34.81227657,138.2695545,
175,222127,静岡県,焼津市,大井川庁舎,オオイガワチョウシャ,静岡県焼津市宗高９００,34.803959,138.284454,
176,222127,静岡県,焼津市,港湾第４,コウワンダイヨン,静岡県焼津市飯淵１９７２,34.78414,138.291274,
177,222127,静岡県,焼津市,西島第二,ニシジマダイニ,静岡県焼津市西島５３８,34.79622175,138.2662096,
178,222127,静岡県,焼津市,下小杉第三,シモコスギダイサン,静岡県焼津市下小杉５３７,34.8126218,138.3155035,
179,222127,静岡県,焼津市,八楠第四,ヤグスダイヨン,静岡県焼津市八楠１－４－４１,34.88335766,138.3044548,
180,222127,静岡県,焼津市,西小川第二,ニシコガワダイニ,静岡県焼津市西小川３－７１,34.857216,138.309296,
181,222127,静岡県,焼津市,東小川第三,ヒガシコガワダイサン,静岡県焼津市東小川８－３７,34.850113,138.309967,
182,222127,静岡県,焼津市,大覚寺第三,ダイカクジダイサン,静岡県焼津市大覚寺３－３,34.87549873,138.3027094,
183,222127,静岡県,焼津市,田尻第五,タジリダイゴ,静岡県焼津市田尻５４１,34.82755251,138.3156674,
184,222127,静岡県,焼津市,保福島第三,ホフクジマダイサン,静岡県焼津市保福島７１２,34.8708071,138.2842408,
185,222127,静岡県,焼津市,三和第二,ミワダイニ,静岡県焼津市三和１４６０,34.83076185,138.3043283,
186,222127,静岡県,焼津市,三和第三,ミワダイサン,静岡県焼津市三和６１４,34.82640132,138.2993527,
187,222127,静岡県,焼津市,宗高第七,ムナダカダイナナ,静岡県焼津市宗高１５２６－３,34.81573721,138.2779565,
188,222127,静岡県,焼津市,越後島第三,エチゴシマダイサン,静岡県焼津市越後島２９９,34.887863,138.297932,
189,222127,静岡県,焼津市,五ケ堀之内第四,ゴカホリノウチダイヨン,静岡県焼津市五ケ堀之内５５５,34.86290053,138.2995175,
190,222127,静岡県,焼津市,くすのき公園,クスノキコウエン,静岡県焼津市八楠３－４－５１,34.879048,138.308108,
191,222127,静岡県,焼津市,小川第六,コガワダイロク,静岡県焼津市会下ノ島石津土地区画整理区域内,34.846551,138.323252,
192,222127,静岡県,焼津市,本郷公園,ホンゴウコウエン,静岡県焼津市大村１丁目４,34.874546,138.308685,
193,222127,静岡県,焼津市,一色第四,イッシキダイヨン,静岡県焼津市一色１２１３,34.82059139,138.3065968,
194,222127,静岡県,焼津市,一色第五,イッシキダイゴ,静岡県焼津市一色８２９,34.82760716,138.3086709,
195,222127,静岡県,焼津市,五ケ堀之内第五,ゴカホリノウチダイゴ,静岡県焼津市五ケ堀之内４５５,34.8657847,138.301163,
196,222127,静岡県,焼津市,下江留第五,シモエドメダイゴ,静岡県焼津市下江留１０６３－１,34.80464278,138.2730554,
197,222127,静岡県,焼津市,上泉第四,カミイズミダイヨン,静岡県焼津市上泉２６７－２,34.81416048,138.2486648,
198,222127,静岡県,焼津市,三ケ名第四,サンガミョウダイヨン,静岡県焼津市三ケ名１３９９,34.86400748,138.3015577,
199,222127,静岡県,焼津市,保福島第四,ホフクジマダイヨン,静岡県焼津市保福島,34.8696327,138.281743,
200,222127,静岡県,焼津市,吉永第六,ヨシナガダイロク,静岡県焼津市吉永２３８－１,34.79756029,138.2868944,
