事故内容,事故内容区分,事故類型,事故類型区分,天候,天候区分,昼夜,昼夜区分,時間帯区分,曜日(発生年月日),曜日区分,死者数,発生日時　　分,発生日時　　年,発生日時　　日,発生日時　　時,発生日時　　月,発生日時（年月日）,発生日時（時間）,負傷者数,路線,路線コード,道路形状,道路形状区分,件数,経度,緯度
2,負傷,1,人対車両,1,晴,22,夜－夜,3-6時,1,日,0,34,2020,05,03,01,2020-01-05,03:34,1,一般市町村道,3700,7,交差点付近－その他,1,138.3143055,34.8729166
2,負傷,21,車両相互,1,晴,12,昼－昼,15-18時,1,日,0,38,2020,05,15,01,2020-01-05,15:38,1,一般都道府県道,2222,1,交差点－その他,1,138.2891111,34.8623611
2,負傷,21,車両相互,1,晴,12,昼－昼,12-15時,1,日,0,20,2020,05,14,01,2020-01-05,14:20,6,主要地方道－都道府県道,1081,14,単路－その他,1,138.3129166,34.8742222
2,負傷,21,車両相互,1,晴,13,昼－暮,15-18時,2,月,0,45,2020,06,16,01,2020-01-06,16:45,1,一般市町村道,3700,14,単路－その他,1,138.2673055,34.8155
2,負傷,21,車両相互,1,晴,21,夜－暮,15-18時,2,月,0,48,2020,06,17,01,2020-01-06,17:48,1,一般都道府県道,2416,1,交差点－その他,1,138.3178055,34.8488888
2,負傷,21,車両相互,3,雨,22,夜－夜,18-21時,3,火,0,20,2020,07,18,01,2020-01-07,18:20,1,主要地方道－都道府県道,1034,14,単路－その他,1,138.2523611,34.8131111
2,負傷,21,車両相互,3,雨,12,昼－昼,6-9時,4,水,0,22,2020,08,08,01,2020-01-08,08:22,1,主要地方道－都道府県道,1030,1,交差点－その他,1,138.2857222,34.8715
2,負傷,21,車両相互,3,雨,12,昼－昼,9-12時,4,水,0,05,2020,08,11,01,2020-01-08,11:05,1,一般市町村道,3700,1,交差点－その他,1,138.3191666,34.8651666
2,負傷,21,車両相互,1,晴,21,夜－暮,15-18時,5,木,0,42,2020,09,17,01,2020-01-09,17:42,1,一般国道（国道番号）,150,7,交差点付近－その他,1,138.3014166,34.8266666
2,負傷,21,車両相互,1,晴,11,昼－明,6-9時,6,金,0,39,2020,10,07,01,2020-01-10,07:39,1,一般都道府県道,2224,14,単路－その他,1,138.2831388,34.8658055
2,負傷,1,人対車両,1,晴,22,夜－夜,18-21時,6,金,0,29,2020,10,19,01,2020-01-10,19:29,1,一般市町村道,3700,14,単路－その他,1,138.2868888,34.8413888
2,負傷,21,車両相互,1,晴,12,昼－昼,9-12時,7,土,0,50,2020,04,10,01,2020-01-04,10:50,1,一般の交通の用に供するその他の道路,9900,0,一般交通の場所,1,138.3069444,34.8573055
2,負傷,21,車両相互,2,曇,23,夜－明,6-9時,7,土,0,50,2020,11,06,01,2020-01-11,06:50,2,一般市町村道,3700,1,交差点－その他,1,138.2953888,34.8293611
2,負傷,21,車両相互,1,晴,12,昼－昼,12-15時,7,土,0,40,2020,04,13,01,2020-01-04,13:40,1,一般市町村道,3700,7,交差点付近－その他,1,138.3158888,34.8665833
2,負傷,21,車両相互,2,曇,12,昼－昼,6-9時,7,土,0,57,2020,11,07,01,2020-01-11,07:57,2,一般市町村道,3700,7,交差点付近－その他,1,138.31225,34.8591944
2,負傷,1,人対車両,1,晴,12,昼－昼,9-12時,7,土,0,25,2020,11,11,01,2020-01-11,11:25,1,一般の交通の用に供するその他の道路,9900,0,一般交通の場所,1,138.3371666,34.8849166
2,負傷,21,車両相互,1,晴,13,昼－暮,15-18時,7,土,0,39,2020,11,16,01,2020-01-11,16:39,3,一般市町村道,3700,14,単路－その他,1,138.2841944,34.8532777
2,負傷,21,車両相互,1,晴,12,昼－昼,9-12時,2,月,0,13,2020,13,09,01,2020-01-13,09:13,1,一般市町村道,3700,1,交差点－その他,1,138.3126111,34.8412222
2,負傷,21,車両相互,1,晴,11,昼－明,6-9時,3,火,0,50,2020,14,07,01,2020-01-14,07:50,1,一般市町村道,3700,14,単路－その他,1,138.2891388,34.8170555
2,負傷,21,車両相互,1,晴,12,昼－昼,9-12時,3,火,0,13,2020,14,09,01,2020-01-14,09:13,1,一般市町村道,3700,14,単路－その他,1,138.3036388,34.8583333
2,負傷,21,車両相互,1,晴,22,夜－夜,18-21時,2,月,0,19,2020,06,19,01,2020-01-06,19:19,1,一般都道府県道,2416,14,単路－その他,1,138.3196111,34.8641388
2,負傷,21,車両相互,1,晴,12,昼－昼,12-15時,5,木,0,53,2020,09,12,01,2020-01-09,12:53,1,一般都道府県道,2222,14,単路－その他,1,138.2883611,34.8623333
2,負傷,21,車両相互,1,晴,12,昼－昼,6-9時,4,水,0,20,2020,15,08,01,2020-01-15,08:20,4,一般国道（国道番号）,150,1,交差点－その他,1,138.3011666,34.8595555
2,負傷,21,車両相互,3,雨,12,昼－昼,9-12時,4,水,0,10,2020,08,09,01,2020-01-08,09:10,1,一般市町村道,3700,1,交差点－その他,1,138.307,34.8738055
2,負傷,21,車両相互,1,晴,12,昼－昼,12-15時,4,水,0,12,2020,15,13,01,2020-01-15,13:12,1,一般市町村道,3700,7,交差点付近－その他,1,138.2923055,34.8683055
2,負傷,21,車両相互,1,晴,12,昼－昼,9-12時,7,土,0,27,2020,11,11,01,2020-01-11,11:27,2,一般市町村道,3700,14,単路－その他,1,138.2883611,34.8535
2,負傷,21,車両相互,1,晴,12,昼－昼,6-9時,6,金,0,55,2020,17,07,01,2020-01-17,07:55,1,一般市町村道,3700,1,交差点－その他,1,138.3084166,34.8017222
2,負傷,21,車両相互,3,雨,21,夜－暮,15-18時,6,金,0,43,2020,17,17,01,2020-01-17,17:43,1,一般市町村道,3700,1,交差点－その他,1,138.3089722,34.885
2,負傷,21,車両相互,3,雨,12,昼－昼,9-12時,7,土,0,51,2020,18,09,01,2020-01-18,09:51,1,一般都道府県道,2224,1,交差点－その他,1,138.2801944,34.8685555
2,負傷,21,車両相互,3,雨,12,昼－昼,9-12時,7,土,0,15,2020,18,09,01,2020-01-18,09:15,1,一般国道（国道番号）,150,7,交差点付近－その他,1,138.3241111,34.8858055
2,負傷,21,車両相互,3,雨,12,昼－昼,12-15時,7,土,0,55,2020,18,12,01,2020-01-18,12:55,1,一般市町村道,3700,1,交差点－その他,1,138.3132777,34.82
2,負傷,21,車両相互,1,晴,13,昼－暮,15-18時,2,月,0,50,2020,20,16,01,2020-01-20,16:50,1,一般市町村道,3700,1,交差点－その他,1,138.3186666,34.8536944
2,負傷,21,車両相互,1,晴,22,夜－夜,18-21時,2,月,0,05,2020,20,18,01,2020-01-20,18:05,2,一般国道（国道番号）,150,7,交差点付近－その他,1,138.3008055,34.8571944
2,負傷,21,車両相互,1,晴,12,昼－昼,9-12時,3,火,0,10,2020,21,11,01,2020-01-21,11:10,1,一般市町村道,3700,1,交差点－その他,1,138.3155277,34.8674166
2,負傷,21,車両相互,1,晴,12,昼－昼,12-15時,3,火,0,40,2020,21,13,01,2020-01-21,13:40,1,一般市町村道,3700,14,単路－その他,1,138.3088333,34.8437777
2,負傷,21,車両相互,3,雨,22,夜－夜,18-21時,6,金,0,14,2020,17,19,01,2020-01-17,19:14,1,一般市町村道,3700,1,交差点－その他,1,138.3239444,34.8235833
2,負傷,21,車両相互,1,晴,22,夜－夜,18-21時,4,水,0,18,2020,22,20,01,2020-01-22,20:18,1,一般市町村道,3700,14,単路－その他,1,138.3064722,34.8002777
2,負傷,21,車両相互,2,曇,12,昼－昼,6-9時,6,金,0,59,2020,24,07,01,2020-01-24,07:59,1,一般市町村道,3700,1,交差点－その他,1,138.2989722,34.8733055
2,負傷,21,車両相互,2,曇,22,夜－夜,3-6時,6,金,0,30,2020,24,05,01,2020-01-24,05:30,1,一般国道（国道番号）,150,14,単路－その他,1,138.2776111,34.8148333
2,負傷,21,車両相互,2,曇,22,夜－夜,18-21時,5,木,0,00,2020,16,20,01,2020-01-16,20:00,1,一般市町村道,3700,1,交差点－その他,1,138.30775,34.8611666
2,負傷,21,車両相互,1,晴,22,夜－夜,18-21時,6,金,0,14,2020,24,19,01,2020-01-24,19:14,1,一般市町村道,3700,1,交差点－その他,1,138.2954166,34.8285555
2,負傷,1,人対車両,2,曇,21,夜－暮,15-18時,6,金,0,34,2020,24,17,01,2020-01-24,17:34,1,一般市町村道,3700,7,交差点付近－その他,1,138.251,34.8183333
2,負傷,21,車両相互,2,曇,12,昼－昼,12-15時,7,土,0,48,2020,25,12,01,2020-01-25,12:48,1,一般国道（国道番号）,150,7,交差点付近－その他,1,138.3160277,34.8802777
2,負傷,21,車両相互,3,雨,11,昼－明,6-9時,1,日,0,55,2020,26,06,01,2020-01-26,06:55,1,一般市町村道,3700,1,交差点－その他,1,138.2924722,34.8682777
2,負傷,21,車両相互,2,曇,11,昼－明,6-9時,6,金,0,35,2020,24,07,01,2020-01-24,07:35,1,一般市町村道,3700,7,交差点付近－その他,1,138.3026388,34.8745833
2,負傷,21,車両相互,2,曇,12,昼－昼,12-15時,2,月,0,55,2020,27,13,01,2020-01-27,13:55,1,一般市町村道,3700,1,交差点－その他,1,138.2816944,34.7877222
2,負傷,21,車両相互,2,曇,12,昼－昼,12-15時,2,月,0,30,2020,27,13,01,2020-01-27,13:30,2,一般の交通の用に供するその他の道路,9900,0,一般交通の場所,1,138.3036111,34.8643333
2,負傷,21,車両相互,3,雨,22,夜－夜,18-21時,2,月,0,30,2020,27,18,01,2020-01-27,18:30,2,一般市町村道,3700,1,交差点－その他,1,138.2598888,34.8201388
2,負傷,21,車両相互,2,曇,23,夜－明,6-9時,3,火,0,18,2020,28,06,01,2020-01-28,06:18,1,一般国道（国道番号）,150,7,交差点付近－その他,1,138.2815833,34.8182222
2,負傷,21,車両相互,3,雨,21,夜－暮,18-21時,3,火,0,00,2020,28,18,01,2020-01-28,18:00,2,一般都道府県道,2224,1,交差点－その他,1,138.2886111,34.8554722
2,負傷,21,車両相互,1,晴,12,昼－昼,6-9時,4,水,0,06,2020,29,08,01,2020-01-29,08:06,1,一般国道（国道番号）,150,14,単路－その他,1,138.3193611,34.88175
2,負傷,21,車両相互,1,晴,12,昼－昼,9-12時,4,水,0,30,2020,29,09,01,2020-01-29,09:30,1,一般都道府県道,2222,7,交差点付近－その他,1,138.3073611,34.8636944
2,負傷,21,車両相互,1,晴,12,昼－昼,15-18時,4,水,0,00,2020,29,15,01,2020-01-29,15:00,2,一般市町村道,3700,1,交差点－その他,1,138.3018333,34.823
2,負傷,21,車両相互,1,晴,21,夜－暮,15-18時,4,水,0,44,2020,29,17,01,2020-01-29,17:44,1,一般市町村道,3700,14,単路－その他,1,138.3098888,34.8605
2,負傷,21,車両相互,1,晴,22,夜－夜,18-21時,4,水,0,42,2020,29,18,01,2020-01-29,18:42,1,一般都道府県道,2416,14,単路－その他,1,138.3280555,34.8782777
2,負傷,21,車両相互,1,晴,22,夜－夜,18-21時,4,水,0,25,2020,29,18,01,2020-01-29,18:25,2,一般市町村道,3700,1,交差点－その他,1,138.2629166,34.8033611
2,負傷,21,車両相互,1,晴,12,昼－昼,6-9時,5,木,0,48,2020,30,07,01,2020-01-30,07:48,1,一般国道（国道番号）,150,1,交差点－その他,1,138.3111944,34.8791944
2,負傷,21,車両相互,1,晴,21,夜－暮,15-18時,5,木,0,50,2020,30,17,01,2020-01-30,17:50,1,一般国道（国道番号）,150,14,単路－その他,1,138.2721111,34.8100277
2,負傷,21,車両相互,3,雨,11,昼－明,6-9時,5,木,0,40,2020,23,07,01,2020-01-23,07:40,1,一般市町村道,3700,7,交差点付近－その他,1,138.3041111,34.8424166
2,負傷,21,車両相互,2,曇,12,昼－昼,9-12時,6,金,0,50,2020,24,11,01,2020-01-24,11:50,2,一般国道（国道番号）,150,14,単路－その他,1,138.3011111,34.8604444
2,負傷,21,車両相互,1,晴,12,昼－昼,6-9時,6,金,0,55,2020,31,07,01,2020-01-31,07:55,1,一般市町村道,3700,1,交差点－その他,1,138.2950555,34.8333055
2,負傷,21,車両相互,1,晴,13,昼－暮,15-18時,6,金,0,39,2020,31,16,01,2020-01-31,16:39,2,一般国道（国道番号）,150,14,単路－その他,1,138.2653888,34.8040833
2,負傷,21,車両相互,1,晴,21,夜－暮,15-18時,6,金,0,59,2020,31,17,01,2020-01-31,17:59,1,一般国道（国道番号）,150,14,単路－その他,1,138.3281666,34.8898611
2,負傷,21,車両相互,1,晴,21,夜－暮,15-18時,1,日,0,52,2020,02,17,02,2020-02-02,17:52,2,一般国道（国道番号）,150,1,交差点－その他,1,138.3005555,34.8335277
2,負傷,21,車両相互,3,雨,12,昼－昼,9-12時,5,木,0,55,2020,23,11,01,2020-01-23,11:55,1,一般国道（国道番号）,150,14,単路－その他,1,138.3057777,34.8014722
2,負傷,21,車両相互,2,曇,21,夜－暮,15-18時,5,木,0,20,2020,23,17,01,2020-01-23,17:20,1,一般市町村道,3700,14,単路－その他,1,138.3125555,34.8593611
2,負傷,21,車両相互,1,晴,11,昼－明,6-9時,2,月,0,29,2020,03,07,02,2020-02-03,07:29,2,一般都道府県道,2227,1,交差点－その他,1,138.28775,34.80775
