original_name,display_name,label_flag
店名,店名,
郵便番号,郵便番号,
住所,住所,
業態,業態,
営業時間,営業時間,
定休日,定休日,
ホームページ,ホームページ,
お店の紹介,お店の紹介,
画像," ",
収容人数,収容人数,
駐車台数,駐車台数,
バリアフリー有無,バリアフリー有無,
身障者用駐車場,身障者用駐車場,
車いす入店,車いす入店,
車いすトイレ,車いすトイレ,
多目的トイレ,多目的トイレ,

