ID,業種,店舗名,住所,建物名,経度,緯度
96,その他,Muguet~first salon~,小土939-5,パレドール小土A 101号室,138.2915825,34.86540752
97,その他,miwa moto factory,道原1205-2,,138.3034842,34.84452089
98,その他,有限会社めぐみ自動車販売,坂本452-4,,138.3115653,34.88922008
99,その他,有限会社めぐみ自動車販売　アグリドローン事業部,中里554-1,,138.3148703,34.88031863
100,その他,もみかる焼津中根店,中根447-2,,138.2953631,34.83842169
101,その他,一般社団法人　焼津市観光協会,栄町一丁目2-14,,138.318812,34.87149897
102,その他,焼津整体院そら,黒石2-1,カネツビル1-C,138.30763,34.84445865
103,その他,焼津港タクシー株式会社,東小川5丁目15-1,,138.311662,34.85579313
104,その他,やいま整骨院,焼津1-6-9,FKビル102,138.3155082,34.86661505
105,その他,山一園製茶株式会社,上新田862-1,,138.2737445,34.81539757
106,その他,RISE,小土644-7,,138.2975654,34.86589091
107,その他,Legalize,大島669,,138.2853025,34.82123922
108,その他,lit.,小屋敷358,,138.2856456,34.86223278
109,その他,リプロカワムラ,石津港町32ー8,,138.3268648,34.84220586
110,その他,理容しまおか,下小田中町32-6,,138.3181989,34.83917618
111,その他,リラクゼーションサロンASPLIR,石津3丁目22-6,,138.3170573,34.84429118
112,その他,リラクゼーションサロン　ラグラックス,静岡県下小田1-5,,138.3123032,34.8419513
113,その他,リラクゼーションサロンnagomi,駅北1丁目2-24,,138.31788,34.8729937
114,その他,lulu room,西小川2丁目11-16,,138.3075256,34.86165754
115,その他,レプラス,大住595-3,カサフェリス,138.2897042,34.84917976
116,その他,ROAR,本町6丁目11-17,,138.3213298,34.86076115
