事故内容,事故内容区分,事故類型,事故類型区分,天候,天候区分,昼夜,昼夜区分,時間帯区分,曜日(発生年月日),曜日区分,死者数,発生日時　　分,発生日時　　年,発生日時　　日,発生日時　　時,発生日時　　月,発生日時（年月日）,発生日時（時間）,負傷者数,路線,路線コード,道路形状,道路形状区分,件数,経度,緯度
2,負傷,1,人対車両,1,晴,22,夜－夜,18-21時,4,水,0,24,2021,17,20,11,2021-11-17,20:24,1,一般市町村道,3700,1,交差点－その他,1,138.2888333,34.8012222
2,負傷,1,人対車両,1,晴,22,夜－夜,15-18時,5,木,0,54,2021,11,17,11,2021-11-11,17:54,1,一般市町村道,3700,1,交差点－その他,1,138.2890555,34.8633611
2,負傷,1,人対車両,1,晴,22,夜－夜,18-21時,6,金,0,55,2021,22,18,10,2021-10-22,18:55,1,一般都道府県道,2227,1,交差点－その他,1,138.2994722,34.7945555
2,負傷,1,人対車両,1,晴,22,夜－夜,18-21時,6,金,0,39,2021,24,18,12,2021-12-24,18:39,1,一般市町村道,3700,1,交差点－その他,1,138.32225,34.8661388
2,負傷,1,人対車両,1,晴,22,夜－夜,21-24時,7,土,0,12,2021,20,21,11,2021-11-20,21:12,1,一般市町村道,3700,1,交差点－その他,1,138.3231388,34.8309444
2,負傷,1,人対車両,1,晴,23,夜－明,6-9時,5,木,0,18,2021,09,06,12,2021-12-09,06:18,1,一般都道府県道,2224,1,交差点－その他,1,138.2882222,34.8586111
2,負傷,1,人対車両,1,晴,23,夜－明,6-9時,6,金,0,34,2021,15,06,01,2021-01-15,06:34,1,一般市町村道,3700,1,交差点－その他,1,138.28875,34.8681388
2,負傷,21,車両相互,1,晴,11,昼－明,6-9時,1,日,0,55,2021,14,06,03,2021-03-14,06:55,1,一般国道（国道番号）,150,14,単路－その他,1,138.3009444,34.8303888
2,負傷,21,車両相互,1,晴,11,昼－明,6-9時,1,日,0,22,2021,28,07,11,2021-11-28,07:22,2,一般市町村道,3700,1,交差点－その他,1,138.3005833,34.8661666
2,負傷,21,車両相互,1,晴,11,昼－明,6-9時,2,月,0,43,2021,18,07,01,2021-01-18,07:43,1,一般市町村道,3700,1,交差点－その他,1,138.3135,34.8550833
2,負傷,21,車両相互,1,晴,11,昼－明,6-9時,2,月,0,20,2021,29,07,11,2021-11-29,07:20,1,主要地方道－都道府県道,1030,1,交差点－その他,1,138.2836666,34.87125
2,負傷,21,車両相互,1,晴,11,昼－明,6-9時,2,月,0,58,2021,15,06,11,2021-11-15,06:58,1,一般市町村道,3700,1,交差点－その他,1,138.3231111,34.8428888
2,負傷,21,車両相互,1,晴,11,昼－明,6-9時,2,月,0,06,2021,15,07,11,2021-11-15,07:06,1,一般市町村道,3700,1,交差点－その他,1,138.324,34.8727222
2,負傷,21,車両相互,1,晴,11,昼－明,6-9時,2,月,0,35,2021,13,07,12,2021-12-13,07:35,1,一般市町村道,3700,1,交差点－その他,1,138.3081944,34.8480555
2,負傷,21,車両相互,1,晴,11,昼－明,6-9時,2,月,0,00,2021,20,07,12,2021-12-20,07:00,1,一般市町村道,3700,7,交差点付近－その他,1,138.3001388,34.8793611
2,負傷,21,車両相互,1,晴,11,昼－明,6-9時,2,月,0,19,2021,22,07,02,2021-02-22,07:19,1,一般市町村道,3700,14,単路－その他,1,138.2744166,34.811
