original_name,display_name,label_flag
名称,名称,
名称_カナ,名称 (カナ),
住所,所在地,
方書,方書,
電話番号,電話番号,
利用可能曜日,利用可能曜日,
開始時間,開始時間,
終了時間,終了時間,
利用可能日時特記事項,利用可能日時特記事項,
種別,説明,
URL,URL,
