ID,学区,学区No.,学区ごとNo,URL,経度,緯度
47,東益津,1,47,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3210695,34.88376556
48,東益津,1,48,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3194859,34.88340921
49,東益津,1,49,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3128714,34.88533696
51,東益津,1,51,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3128095,34.88489035
52,東益津,1,52,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.313147,34.88421061
53,東益津,1,53,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3138945,34.88134367
54,東益津,1,54,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3130689,34.88436365
55,東益津,1,55,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3176459,34.88536891
56,東益津,1,56,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3184281,34.88227536
57,東益津,1,57,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3165875,34.88717616
58,東益津,1,58,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3151251,34.88700924
59,東益津,1,59,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3181057,34.88349585
60,東益津,1,60,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.318297,34.88029675
61,東益津,1,61,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3159294,34.87963556
62,東益津,1,62,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3184386,34.87998144
63,東益津,1,63,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3155811,34.87953893
64,東益津,1,64,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3178473,34.88055174
65,東益津,1,65,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.316847,34.87831256
66,東益津,1,66,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.316522,34.87860866
67,東益津,1,67,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3165109,34.87843475
68,東益津,1,68,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3200606,34.88012368
69,東益津,1,69,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3209812,34.88192973
70,東益津,1,70,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3205653,34.88120342
71,東益津,1,71,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.327435,34.87985896
72,東益津,1,72,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3284858,34.87904117
73,東益津,1,73,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3268887,34.877907
74,東益津,1,74,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3272125,34.87819251
