都道府県,都道府県コード,市区町村,市区町村コード,緯度,経度,イベント,発生件数,リンク
静岡県,22,焼津市,212,34.858721,138.318273,急ブレーキ,1,"https://www.google.com/maps?q=34.858721,138.318273"
静岡県,22,焼津市,212,34.86785299,138.31602,急ブレーキ,1,"https://www.google.com/maps?q=34.86785299,138.31602"
静岡県,22,焼津市,212,34.874677,138.302495,急ブレーキ,1,"https://www.google.com/maps?q=34.874677,138.302495"
静岡県,22,焼津市,212,34.811629,138.317341,急ブレーキ,1,"https://www.google.com/maps?q=34.811629,138.317341"
静岡県,22,焼津市,212,34.864666,138.325298,急ブレーキ,1,"https://www.google.com/maps?q=34.864666,138.325298"
静岡県,22,焼津市,212,34.86310799,138.289115,急ブレーキ,1,"https://www.google.com/maps?q=34.86310799,138.289115"
静岡県,22,焼津市,212,34.880572,138.325826,急ブレーキ,1,"https://www.google.com/maps?q=34.880572,138.325826"
静岡県,22,焼津市,212,34.86895599,138.29961,急ブレーキ,3,"https://www.google.com/maps?q=34.86895599,138.29961"
静岡県,22,焼津市,212,34.877479,138.304966,急ブレーキ,1,"https://www.google.com/maps?q=34.877479,138.304966"
静岡県,22,焼津市,212,34.868083,138.322816,急ブレーキ,2,"https://www.google.com/maps?q=34.868083,138.32281599"
静岡県,22,焼津市,212,34.868332,138.321103,急ブレーキ,1,"https://www.google.com/maps?q=34.868332,138.321103"
静岡県,22,焼津市,212,34.858105,138.324441,急ブレーキ,1,"https://www.google.com/maps?q=34.858105,138.324441"
静岡県,22,焼津市,212,34.88810999,138.314484,急ブレーキ,2,"https://www.google.com/maps?q=34.88810999,138.314484"
静岡県,22,焼津市,212,34.810055,138.316166,急ブレーキ,2,"https://www.google.com/maps?q=34.810055,138.316166"
静岡県,22,焼津市,212,34.842911,138.325823,急ブレーキ,1,"https://www.google.com/maps?q=34.842911,138.325823"
静岡県,22,焼津市,212,34.854428,138.311411,急ブレーキ,1,"https://www.google.com/maps?q=34.854428,138.311411"
静岡県,22,焼津市,212,34.848565,138.322533,急ブレーキ,3,"https://www.google.com/maps?q=34.848565,138.322533"
静岡県,22,焼津市,212,34.858282,138.28243,急ブレーキ,1,"https://www.google.com/maps?q=34.858282,138.28243"
静岡県,22,焼津市,212,34.876207,138.315793,急ブレーキ,1,"https://www.google.com/maps?q=34.876207,138.315793"
静岡県,22,焼津市,212,34.870043,138.323902,急ブレーキ,1,"https://www.google.com/maps?q=34.870043,138.323902"
静岡県,22,焼津市,212,34.793511,138.274647,急ブレーキ,1,"https://www.google.com/maps?q=34.793511,138.27464699"
静岡県,22,焼津市,212,34.853731,138.304662,急ブレーキ,1,"https://www.google.com/maps?q=34.853731,138.304662"
静岡県,22,焼津市,212,34.866072,138.322915,急ブレーキ,4,"https://www.google.com/maps?q=34.866072,138.322915"
静岡県,22,焼津市,212,34.862864,138.324816,急ブレーキ,1,"https://www.google.com/maps?q=34.862864,138.324816"
静岡県,22,焼津市,212,34.82526,138.294302,急ブレーキ,1,"https://www.google.com/maps?q=34.82526,138.29430199"
静岡県,22,焼津市,212,34.859338,138.312701,急ブレーキ,1,"https://www.google.com/maps?q=34.859338,138.312701"
静岡県,22,焼津市,212,34.88004699,138.314945,急ブレーキ,2,"https://www.google.com/maps?q=34.88004699,138.314945"
静岡県,22,焼津市,212,34.863058,138.299555,急ブレーキ,1,"https://www.google.com/maps?q=34.863058,138.299555"
静岡県,22,焼津市,212,34.865397,138.292679,急ブレーキ,1,"https://www.google.com/maps?q=34.865397,138.292679"
静岡県,22,焼津市,212,34.86066499,138.318764,急ブレーキ,1,"https://www.google.com/maps?q=34.86066499,138.31876399"
静岡県,22,焼津市,212,34.868722,138.321354,急ブレーキ,1,"https://www.google.com/maps?q=34.868722,138.321354"
静岡県,22,焼津市,212,34.863568,138.319205,急ブレーキ,3,"https://www.google.com/maps?q=34.863568,138.319205"
静岡県,22,焼津市,212,34.873002,138.313438,急ブレーキ,1,"https://www.google.com/maps?q=34.873002,138.313438"
静岡県,22,焼津市,212,34.818359,138.310063,急ブレーキ,1,"https://www.google.com/maps?q=34.818359,138.310063"
静岡県,22,焼津市,212,34.862567,138.307225,急ブレーキ,1,"https://www.google.com/maps?q=34.862567,138.30722499"
静岡県,22,焼津市,212,34.876695,138.302055,急ブレーキ,1,"https://www.google.com/maps?q=34.876695,138.302055"
静岡県,22,焼津市,212,34.834642,138.324742,急ブレーキ,2,"https://www.google.com/maps?q=34.834642,138.32474199"
静岡県,22,焼津市,212,34.863812,138.316273,急ブレーキ,1,"https://www.google.com/maps?q=34.863812,138.316273"
静岡県,22,焼津市,212,34.878019,138.305658,急ブレーキ,1,"https://www.google.com/maps?q=34.878019,138.305658"
静岡県,22,焼津市,212,34.863872,138.314397,急ブレーキ,2,"https://www.google.com/maps?q=34.863872,138.314397"
静岡県,22,焼津市,212,34.862478,138.307247,急ブレーキ,1,"https://www.google.com/maps?q=34.862478,138.30724699"
静岡県,22,焼津市,212,34.806602,138.253648,急ブレーキ,1,"https://www.google.com/maps?q=34.806602,138.253648"
