都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_通称,POIコード,住所,方書,緯度,経度,電話番号,内線番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,説明,バリアフリー情報,URL,備考
222127,0000010861,静岡県,焼津市,自主防災倉庫（第17自主防災会）,ジシュボウサイソウコダイジュウナナジシュボウサイカイ,,,焼津市浜当目3-373-3,,34.880423,138.334254,,,,地域防災課,,,,,,,,
222127,0000010862,静岡県,焼津市,自主防災倉庫（第18自主防災会）,ジシュボウサイソウコダイジュウハチジシュボウサイカイ,,,焼津市中根新田49-6,,34.838747,138.298514,,,,地域防災課,,,,,,,,
222127,0000010863,静岡県,焼津市,自主防災倉庫（第19自主防災会）,ジシュボウサイソウコダイジュウキュウジシュボウサイカイ,,,焼津市中新田1022-1,,34.839278,138.28787,,,,地域防災課,,,,,,,,
222127,0000010864,静岡県,焼津市,自主防災倉庫（第23自主防災会）,ジシュボウサイソウコダイニジュウサンジシュボウサイカイ,,,焼津市北新田224,,34.83268,138.319147,,,,地域防災課,,,,,,,,
222127,0000010865,静岡県,焼津市,清見田公園防災倉庫,キヨミタコウエンボウサイソウコ,,,焼津市三ケ名1626,,34.866386,138.305746,,,,地域防災課,,,,,,,,
222127,0000010866,静岡県,焼津市,石津西公園防災備蓄倉庫,イシヅニシコウエンボウサイビチクソウコ,,,焼津市石津421-3,,34.842765,138.31363,,,,地域防災課,,,,,,,,
222127,0000010867,静岡県,焼津市,自主防災倉庫（第10自主防災会：保福島）,ジシュボウサイソウコダイジュウジシュボウサイカイホフクジマ,,,焼津市保福島159-1,,34.867591,138.281995,,,,地域防災課,,,,,,,,
222127,0000010868,静岡県,焼津市,大井川防災倉庫,オオイガワボウサイソウコ,,,焼津市宗高900,,34.803814,138.283668,,,,河川課,,,,,,,,
222127,0000010869,静岡県,焼津市,駿河湾深層水利用促進交流施設（深層水ミュージアム）,スルガワンシンソウスイリヨウソクシンコウリュウシセツシンソウスイミュージアム,,,焼津市鰯ケ島136-24,,34.85871089,138.325884,,,,漁港振興課,,,,【開館時間】9:00～17:00 【休館日】月曜日,,,,
222127,0000010870,静岡県,焼津市,駿河湾深層水脱塩施設,スルガワンシンソウスイダツエンシセツ,,,焼津市鰯ケ島136-24,,34.858518,138.325866,,,,漁港振興課,,,,【開館時間】10:00～15:00 【休館日】月曜日,,,,
222127,0000010878,静岡県,焼津市,大井川港防災倉庫,オオイガワコウボウサイソウコ,,,焼津市飯淵2160,,34.780169,138.297767,,,,大井川港管理事務所,,,,,,,,
222127,0000010881,静岡県,焼津市,消防団第４分団車庫・詰所,ショウボウダンダイヨンブンダンシャコツメショ,,,焼津市駅北3-11-6,,34.87314355,138.31382,,,,地域防災課,,,,,,,,
222127,0000010882,静岡県,焼津市,消防団第６分団車庫・詰所,ショウボウダンダイロクブンダンシャコツメショ,,,焼津市浜当目2-10-18,,34.878542,138.33099,,,,地域防災課,,,,,,,,
222127,0000010883,静岡県,焼津市,消防団第８分団車庫・詰所,ショウボウダンダイハチブンダンシャコツメショ,,,焼津市小土1154-1,,34.86232803,138.2866292,,,,地域防災課,,,,,,,,
222127,0000010884,静岡県,焼津市,消防団第９分団車庫・詰所,ショウボウダンダイキュウブンダンシャコツメショ,,,焼津市東小川7-12-13,,34.8519486,138.3112639,,,,地域防災課,,,,,,,,
222127,0000010885,静岡県,焼津市,消防団第11分団車庫・詰所,ショウボウダンダイジュウイチブンダンシャコツメショ,,,焼津市石津向町25-16,,34.84111577,138.3205328,,,,地域防災課,,,,,,,,
222127,0000010886,静岡県,焼津市,消防団第13分団車庫・詰所,ショウボウダンダイジュウサンブンダンシャコツメショ,,,焼津市三和115-1,,34.82289087,138.3008016,,,,地域防災課,,,,,,,,
222127,0000010887,静岡県,焼津市,消防団第14分団車庫・詰所,ショウボウダンダイジュウヨンブンダンシャコツメショ,,,焼津市田尻2002,,34.82728441,138.3221717,,,,地域防災課,,,,,,,,
222127,0000010888,静岡県,焼津市,消防団第15分団車庫・詰所,ショウボウダンダイジュウゴブンダンシャコツメショ,,,焼津市田尻北682-3,,34.83624251,138.3306955,,,,地域防災課,,,,,,,,
222127,0000010889,静岡県,焼津市,消防団第18分団車庫・詰所,ショウボウダンダイジュウハチブンダンシャコツメショ,,,焼津市吉永492-8,,34.793569,138.2952994,,,,地域防災課,,,,,,,,
222127,0000010890,静岡県,焼津市,消防団第16分団車庫,ショウボウダンダイジュウロクブンダンシャコツメショ,,,焼津市藤守537,,34.80748025,138.30913,,,,地域防災課,,,,,,,,
222127,0000010891,静岡県,焼津市,消防団第17分団車庫・詰所,ショウボウダンダイジュウナナブンダンシャコツメショ,,,焼津市下江留1754-3,,34.8107,138.272609,,,,地域防災課,,,,,,,,
222127,0000010927,静岡県,焼津市,大井川南放課後児童クラブ,オオイガワミナミホウカゴジドウクラブ,,,焼津市利右衛門856-9,,34.793159,138.295213,,,,家庭・子ども支援課,,,,【開館時間】平日：12:00～18:30　　土曜日：7:30～17:30 長期休暇：7:30～18:30 【休館日】日曜日、祝祭日,,,,
