ID,業種,店舗名,住所,建物名,経度,緯度
197,飲食店,和食麺処サガミ　焼津西小川店,西小川４丁目２－１,,138.3086753,34.85374785
198,飲食店,和食や　みさき,東小川7-19-6,,138.3086487,34.85178201
199,飲食店,和人　旬の菜と旨い酒,一色728-1,,138.3104217,34.83056503
200,飲食店,和ダイニングおはな,東小川5-16-1,,138.3120114,34.85640002
618,飲食店,くつろぎ食房かざ花,東小川2-16-3,2F,138.3118612,34.85837505
29,飲食店,えふらぼ,本町5丁目10-14,,138.321665,34.86239484
51,飲食店,喜助家,黒石二丁目2-1,カネツビル1階1-B,138.3075909,34.84419153
70,飲食店,ジェシカフェ,藤守541,,138.3036082,34.80943506
74,飲食店,Ｘｉｂｉ,西小川4-15-5 2F,,138.306253,34.85355548
79,飲食店,食彩酒房　えびすけ,東小川8丁目5-33,,138.3098141,34.85049982
93,飲食店,炭火焼肉 SUPER和牛 焼肉専門店,石津2丁目2-34,,138.3148116,34.84342084
88,飲食店,ステーキハウスBun,保福島638-3,,138.2828942,34.87108826
102,飲食店,ダイニングバーベリーノ,東道原12-2,,138.3076378,34.83688675
110,飲食店,tuboyakiimo imohime,西小川6-5-15,,138.3034718,34.85411487
111,飲食店,Daisy Cocktails,栄町6-3-17,,138.3173793,34.86948295
112,飲食店,てっか丼山もと,八楠4ｰ13ｰ7,,138.3036205,34.88032913
130,飲食店,Pao Story,本町二丁目12-8,204A,138.3221846,34.86649753
131,飲食店,ハゲ天,焼津6-4-5,,138.3193761,34.86388042
108,飲食店,中華料理喜食季,石津2丁目2-5,,138.3145843,34.84325673
165,飲食店,めぐちゃんち,焼津４丁目11-2,,138.3135253,34.86193931
178,飲食店,焼肉 宮（MIYA）,黒石2丁目2-28,カネツビル1-D,138.3076491,34.84414247
186,飲食店,陽楽坊　晴れ晴れ,焼津2丁目4-4,,138.3154466,34.86518302
174,飲食店,焼肉きんぐ焼津店,八楠2-30-9,,138.3097764,34.87987316
196,飲食店,和食さと　焼津店,三右衛門新373-1,,138.3000625,34.84686408
171,飲食店,焼津港丸入商店,宗高1474-3,,138.2787448,34.80834955
