事故内容,事故内容区分,事故類型,事故類型区分,天候,天候区分,昼夜,昼夜区分,時間帯区分,曜日(発生年月日),曜日区分,死者数,発生日時　　分,発生日時　　年,発生日時　　日,発生日時　　時,発生日時　　月,発生日時（年月日）,発生日時（時間）,負傷者数,路線,路線コード,道路形状,道路形状区分,件数,経度,緯度
1,死亡,21,車両相互,1,晴,12,昼－昼,9-12時,4,水,1,19,2022,02,11,11,2022-11-02,11:19,0,一般国道（国道番号）,150,1,交差点－その他,1,138.2999444,34.8421388
1,死亡,21,車両相互,1,晴,12,昼－昼,12-15時,6,金,1,00,2022,16,14,09,2022-09-16,14:00,0,一般都道府県道,2222,1,交差点－その他,1,138.3058611,34.8635833
2,負傷,1,人対車両,1,晴,11,昼－明,6-9時,5,木,0,29,2022,15,07,12,2022-12-15,07:29,1,一般都道府県道,2416,14,単路－その他,1,138.31775,34.85
2,負傷,1,人対車両,1,晴,12,昼－昼,9-12時,1,日,0,20,2022,03,10,07,2022-07-03,10:20,1,一般の交通の用に供するその他の道路,9900,0,一般交通の場所,1,138.2915,34.8463333
2,負傷,1,人対車両,1,晴,12,昼－昼,15-18時,1,日,0,38,2022,28,16,08,2022-08-28,16:38,1,一般の交通の用に供するその他の道路,9900,0,一般交通の場所,1,138.3192222,34.8311111
2,負傷,1,人対車両,1,晴,12,昼－昼,9-12時,1,日,0,37,2022,27,09,02,2022-02-27,09:37,1,一般市町村道,3700,1,交差点－その他,1,138.3080277,34.8454444
2,負傷,1,人対車両,1,晴,12,昼－昼,12-15時,1,日,0,12,2022,27,12,03,2022-03-27,12:12,1,一般都道府県道,2224,1,交差点－その他,1,138.2915,34.8456388
2,負傷,1,人対車両,1,晴,12,昼－昼,6-9時,2,月,0,35,2022,26,08,12,2022-12-26,08:35,1,主要地方道－都道府県道,1030,1,交差点－その他,1,138.3172222,34.8696944
2,負傷,1,人対車両,1,晴,12,昼－昼,6-9時,2,月,0,45,2022,11,08,04,2022-04-11,08:45,1,一般市町村道,3700,14,単路－その他,1,138.3135277,34.8486388
2,負傷,1,人対車両,1,晴,12,昼－昼,12-15時,3,火,0,50,2022,31,14,05,2022-05-31,14:50,1,一般市町村道,3700,14,単路－その他,1,138.3161944,34.8706388
