都道府県,都道府県コード,市区町村,市区町村コード,緯度,経度,イベント,発生件数,リンク
静岡県,22,焼津市,212,34.859069,138.324419,速度超過,1,"https://www.google.com/maps?q=34.859069,138.324419"
静岡県,22,焼津市,212,34.869176,138.288685,速度超過,1,"https://www.google.com/maps?q=34.869176,138.28868499"
静岡県,22,焼津市,212,34.866496,138.28421,速度超過,1,"https://www.google.com/maps?q=34.866496,138.28421"
静岡県,22,焼津市,212,34.86940899,138.288668,速度超過,1,"https://www.google.com/maps?q=34.86940899,138.288668"
静岡県,22,焼津市,212,34.799034,138.264496,速度超過,1,"https://www.google.com/maps?q=34.799034,138.264496"
静岡県,22,焼津市,212,34.833801,138.285607,速度超過,1,"https://www.google.com/maps?q=34.833801,138.285607"
静岡県,22,焼津市,212,34.891964,138.333142,速度超過,1,"https://www.google.com/maps?q=34.891964,138.333142"
静岡県,22,焼津市,212,34.826286,138.324939,速度超過,1,"https://www.google.com/maps?q=34.826286,138.324939"
静岡県,22,焼津市,212,34.807041,138.28704,速度超過,1,"https://www.google.com/maps?q=34.807041,138.28703999"
静岡県,22,焼津市,212,34.83219299,138.325136,速度超過,1,"https://www.google.com/maps?q=34.83219299,138.32513599"
静岡県,22,焼津市,212,34.887779,138.291254,速度超過,1,"https://www.google.com/maps?q=34.887779,138.291254"
静岡県,22,焼津市,212,34.79371299,138.301026,速度超過,1,"https://www.google.com/maps?q=34.79371299,138.301026"
静岡県,22,焼津市,212,34.788131,138.29216,速度超過,1,"https://www.google.com/maps?q=34.788131,138.29216"
静岡県,22,焼津市,212,34.8018792,138.3103547,速度超過,1,"https://www.google.com/maps?q=34.8018792,138.3103547"
静岡県,22,焼津市,212,34.77726599,138.280061,速度超過,2,"https://www.google.com/maps?q=34.77726599,138.28006099"
静岡県,22,焼津市,212,34.79881499,138.299049,速度超過,1,"https://www.google.com/maps?q=34.79881499,138.299049"
静岡県,22,焼津市,212,34.778574,138.281504,速度超過,2,"https://www.google.com/maps?q=34.778574,138.281504"
静岡県,22,焼津市,212,34.8117564,138.2504519,速度超過,1,"https://www.google.com/maps?q=34.8117564,138.2504519"
静岡県,22,焼津市,212,34.801869,138.287399,速度超過,1,"https://www.google.com/maps?q=34.801869,138.287399"
静岡県,22,焼津市,212,34.800838,138.289526,速度超過,1,"https://www.google.com/maps?q=34.800838,138.289526"
