事故内容,事故内容区分,事故類型,事故類型区分,天候,天候区分,昼夜,昼夜区分,時間帯区分,曜日(発生年月日),曜日区分,死者数,発生日時　　分,発生日時　　年,発生日時　　日,発生日時　　時,発生日時　　月,発生日時（年月日）,発生日時（時間）,負傷者数,路線,路線コード,道路形状,道路形状区分,件数,経度,緯度
1,死亡,21,車両相互,1,晴,22,夜－夜,21-24時,4,水,1,45,2024,25,21,12,2024/12/25,21:45,0,,37000,1,交差点－その他,1,138.2899381,34.809935
2,負傷,1,人対車両,1,晴,11,昼－明,6-9時,2,月,0,15,2024,18,7,11,2024/11/18,7:15,1,,37000,14,単路－その他,1,138.3026231,34.85883111
2,負傷,1,人対車両,1,晴,11,昼－明,6-9時,3,火,0,2,2024,6,7,2,2024/2/6,7:2,1,,37000,1,交差点－その他,1,138.3244481,34.85763889
2,負傷,1,人対車両,1,晴,11,昼－明,6-9時,5,木,0,0,2024,5,6,9,2024/9/5,6:0,1,,37000,1,交差点－その他,1,138.2749189,34.79856194
2,負傷,1,人対車両,1,晴,12,昼－昼,9-12時,1,日,0,18,2024,26,11,5,2024/5/26,11:18,1,,99000,0,一般交通の場所,1,138.3091219,34.85281389
2,負傷,1,人対車両,1,晴,12,昼－昼,12-15時,1,日,0,54,2024,3,14,11,2024/11/3,14:54,1,,99000,0,一般交通の場所,1,138.2882969,34.853215
2,負傷,1,人対車両,1,晴,12,昼－昼,9-12時,1,日,0,27,2024,7,9,1,2024/1/7,9:27,1,,37000,14,単路－その他,1,138.2894339,34.86982389
2,負傷,1,人対車両,1,晴,12,昼－昼,9-12時,1,日,0,40,2024,1,11,12,2024/12/1,11:40,1,,37000,14,単路－その他,1,138.3073211,34.81707111
2,負傷,1,人対車両,1,晴,12,昼－昼,6-9時,2,月,0,45,2024,24,8,6,2024/6/24,8:45,1,,99000,0,一般交通の場所,1,138.2789511,34.79684611
2,負傷,1,人対車両,1,晴,12,昼－昼,15-18時,2,月,0,55,2024,24,16,6,2024/6/24,16:55,1,,24160,14,単路－その他,1,138.3221111,34.87015194
2,負傷,1,人対車両,1,晴,12,昼－昼,9-12時,3,火,0,35,2024,19,9,3,2024/3/19,9:35,1,,99000,0,一般交通の場所,1,138.3191819,34.86429111
2,負傷,1,人対車両,1,晴,12,昼－昼,12-15時,3,火,0,45,2024,25,14,6,2024/6/25,14:45,1,,37000,1,交差点－その他,1,138.3010239,34.83634306
2,負傷,1,人対車両,1,晴,12,昼－昼,12-15時,3,火,0,30,2024,17,14,12,2024/12/17,14:30,1,,37000,1,交差点－その他,1,138.31238,34.84387694
2,負傷,1,人対車両,1,晴,12,昼－昼,15-18時,3,火,0,33,2024,10,15,12,2024/12/10,15:33,1,,37000,1,交差点－その他,1,138.314775,34.84869889
2,負傷,1,人対車両,1,晴,12,昼－昼,12-15時,3,火,0,25,2024,30,12,1,2024/1/30,12:25,1,,37000,7,交差点付近－その他,1,138.3226839,34.86769889
